Date,Product,Sales,Quantity,Region
2024-01-05,Laptop,75000.0,3,North
2024-01-12,Mouse,2500.0,10,South
2024-02-03,Keyboard,4500.0,8,East
2024-02-18,Laptop,68000.0,2,West
2024-03-07,Headphones,6000.0,6,South
2024-03-21,Mouse,,12,North
2024-04-04,Keyboard,5000.0,9,East
2024-04-19,Laptop,72000.0,3,South
2024-05-06,Monitor,28000.0,4,West
2024-05-22,Headphones,8500.0,7,East
2024-06-08,Mouse,2900.0,11,South
2024-06-25,,81000.0,3,North
2024-07-10,Keyboard,5200.0,10,West
2024-07-27,Monitor,31000.0,5,East
2024-08-09,Headphones,9000.0,8,South
2024-08-24,Mouse,3500.0,13,North
2024-09-11,Laptop,76000.0,2,
2024-09-28,Keyboard,4800.0,9,East
2024-10-13,Monitor,29500.0,5,North
2024-10-30,Headphones,8200.0,6,South
